Model,Year,Price
Altima 2.5 SL,2020,19400.0
Altima 2.5 SL,2021,20895.0
Altima 2.5 SL,2022,22547.0
Altima 2.5 SL,2023,20746.5
Altima 2.5 SL,2024,27684.333333333332
Altima 2.5 SR,2017,12895.0
Altima 2.5 SR,2019,17397.5
Altima 2.5 SR,2020,17449.5
Altima 2.5 SR,2022,18565.333333333332
Altima 2.5 SR,2024,23034.666666666668
Altima 2.5 SV,2015,9993.0
Altima 2.5 SV,2020,20850.0
Altima 2.5 SV,2022,21160.0
Altima 2.5 SV,2023,20286.333333333332
Altima 2.5 SV,2024,21086.6
Altima 2.5 SV,2025,24891.0
Altima S,2018,14599.0
Altima S FWD,2020,14997.0
Altima S FWD,2022,19510.5
Altima S FWD,2023,18189.5
Altima S FWD,2024,18985.0
Altima SR,2019,15998.0
Altima SR,2022,22998.0
Altima SR FWD,2020,16444.0
Altima SR FWD,2022,19881.0
Altima SR FWD,2023,21915.5
Altima SR FWD,2024,25292.333333333332
Altima SR FWD,2025,26000.0
Altima SR Intelligent AWD,2020,17995.0
Altima SR Intelligent AWD,2021,18495.0
Altima SR Intelligent AWD,2022,20930.0
Altima SR Intelligent AWD,2023,21800.0
Altima SV,2015,12998.0
Altima SV,2022,24998.0
Altima SV,2023,21998.0
Armada Platinum,2017,16677.0
Armada Platinum,2018,21295.0
Armada Platinum,2019,21940.5
Armada Platinum 2WD,2023,41161.5
Armada Platinum 2WD,2024,47400.0
Armada Platinum 4WD,2021,37972.0
Armada Platinum 4WD,2023,47995.0
Armada Platinum 4WD,2024,54453.0
Armada SL,2020,25995.0
Armada SL,2024,48177.0
Armada SL 2WD,2023,32475.0
Armada SL 4WD,2021,28995.0
Armada SL 4WD,2023,35395.5
Armada SL 4WD,2024,46679.666666666664
Armada SV,2017,15998.0
Armada SV,2019,21800.0
Armada SV,2023,29000.0
Armada SV 2WD,2022,27985.0
Arnage,2001,22995.0
Arnage R,2006,57950.0
Arteon 2.0T SEL Premium R-Line,2019,22900.0
Arteon 2.0T SEL R-Line 4MOTION,2021,26400.0
Ascent Limited 7-Passenger,2021,27591.666666666668
Ascent Limited 7-Passenger,2022,29551.0
Ascent Limited 8-Passenger,2021,23799.0
Ascent Limited 8-Passenger,2024,42995.0
Ascent Onyx Edition,2022,34767.0
Ascent Onyx Edition 7-Passenger,2022,31944.0
Ascent Onyx Edition 7-Passenger,2025,41100.0
Ascent Onyx Edition Touring,2025,45999.0
Ascent Premium 7-Passenger,2019,22250.0
Ascent Premium 7-Passenger,2021,24106.0
Ascent Premium 7-Passenger,2023,33220.0
Ascent Premium 7-Passenger,2024,36499.0
Ascent Premium 8-Passenger,2021,29734.0
Ascent Touring,2022,35998.0
Ascent Touring 7-Passenger,2019,19100.0
Ascent Touring 7-Passenger,2020,28558.0
Ascent Touring 7-Passenger,2022,28885.0
Ascent Touring 7-Passenger,2024,44495.0
Atlas 2.0T SE,2020,20847.0
Atlas 2.0T SE,2022,22000.0
Atlas 2.0T SE w/Technology,2018,14995.0
Atlas 2.0T SE w/Technology,2023,28990.0
Atlas 2.0T SE w/Technology,2024,38927.0
Atlas 2.0T SE w/Technology 4MOTION,2022,30495.0
Atlas 2.0T SE w/Technology 4MOTION,2024,36662.5
Atlas 2.0T SEL,2018,16332.0
Atlas 2.0T SEL,2024,39897.5
Atlas 3.6 V6 SE w/ Technology,2021,23291.0
Atlas 3.6L SE w/Technology,2018,19990.0
Atlas 3.6L SE w/Technology,2019,21104.8
Atlas 3.6L SE w/Technology,2020,22977.0
Atlas 3.6L SE w/Technology,2021,25956.333333333332
Atlas 3.6L SE w/Technology,2022,28874.571428571428
Atlas 3.6L SE w/Technology,2023,29900.0
Atlas 3.6L SE w/Technology R-Line,2021,32958.0
Atlas 3.6L SEL,2018,13995.0
Atlas 3.6L SEL,2019,21499.0
Atlas 3.6L SEL,2022,35982.5
Atlas 3.6L SEL Premium,2018,18595.0
Atlas 3.6L SEL Premium,2019,18493.0
Atlas 3.6L SEL Premium,2022,34289.0
Atlas 3.6L SEL Premium,2023,33499.0
Atlas Cross Sport 2.0T SE,2023,24918.0
Atlas Cross Sport 2.0T SE W/TECHNOL,2020,26999.0
Atlas Cross Sport 2.0T SE w/Technology,2021,25991.0
Atlas Cross Sport 2.0T SE w/Technology,2024,42405.0
Atlas Cross Sport 2.0T SE w/Technology 4MOTION,2023,27500.0
Atlas Cross Sport 2.0T SE w/Technology 4MOTION,2024,35318.5
Atlas Cross Sport 2.0T SEL,2020,24758.0
Atlas Cross Sport 2.0T SEL,2022,28500.0
Atlas Cross Sport 2.0T SEL,2023,33893.0
Atlas Cross Sport 2.0T SEL Premium,2024,42937.6
Atlas Cross Sport 2.0T SEL Premium R-Line,2024,45995.0
Atlas Cross Sport 2.0T SEL Premium R-Line 4MOTION,2024,43657.0
Atlas Cross Sport 3.6L V6 SE w/Technology,2021,25675.0
Atlas Cross Sport 3.6L V6 SE w/Technology,2022,27072.2
Atlas Cross Sport 3.6L V6 SE w/Technology R-Line,2021,25996.0
Atlas Cross Sport 3.6L V6 SEL,2021,31395.0
Atlas Cross Sport 3.6L V6 SEL 4MOTION,2020,25239.0
Atlas Cross Sport 3.6L V6 SEL Premium R-Line,2020,25586.0
Atlas Cross Sport 3.6L V6 SEL Premium R-Line,2021,30728.333333333332
Atlas Cross Sport 3.6L V6 SEL R-Line,2022,28975.333333333332
Atlas Cross Sport SEL Premium,2021,31998.0
Avalon Hybrid Limited,2014,13695.0
Avalon Hybrid XLE Premium,2018,16985.0
Avalon Limited,2016,29998.0
Avalon Touring,2018,23990.0
Avalon XLE,2014,11991.0
Avalon XLE Premium,2014,11213.0
Avenger R/T,2008,7850.0
Aviator Black Label Grand Touring AWD,2020,42966.0
Aviator Reserve,2020,38998.0
