name,score,price,url,battery_size,max_dc_charge,miles_per_kwh,range,MilesPerDollar,RangePerKWh,ScoreBucket
Ford Explorer Review,8,45875,https://www.electrifying.com/reviews/ford-reviews/explorer/,65,185,4.1,374,0.008152588555858311,5.753846153846154,7-8
Polestar 3 Review,8,75900,https://www.electrifying.com/reviews/polestar/3/,107,250,4.1,393,0.0051778656126482215,3.6728971962616823,7-8
Omoda E5 Review,6,33055,https://www.electrifying.com/reviews/omoda/5/,61,80,4.1,257,0.00777492058690062,4.213114754098361,5-6
Ora Ballet Cat Review,4,18000,https://www.electrifying.com/long-term-reviews/ora/ballet-cat/,73,6,5.1,311,0.017277777777777777,4.260273972602739,Below 5
Ora Funky Cat / 03 Review,6,31995,https://www.electrifying.com/long-term-reviews/ora/funky-cat/o3/,73,64,3.6,260,0.008126269729645258,3.5616438356164384,5-6
Peugeot E-3008 Review,5,45960,https://www.electrifying.com/reviews/peugeot-reviews/e-3008/,85,160,4.4,435,0.009464751958224544,5.117647058823529,5-6
Cupra Born VZ Review,9,46000,https://www.electrifying.com/reviews/cupra-reviews/born/,79,185,4.2,335,0.007282608695652174,4.2405063291139244,9-10
MG Cyberster Review,7,54995,https://www.electrifying.com/reviews/mg-reviews/cyberster/,73,150,4.0,316,0.005745976906991545,4.328767123287672,7-8
Jeep Wagoneer S Review,6,65000,https://www.electrifying.com/reviews/jeep-reviews/wagoneer-s/,100,200,2.9,300,0.004615384615384616,3.0,5-6
Cadillac OPTIQ Review,7,46000,https://www.electrifying.com/reviews/cadillac/optiq/,85,250,3.5,300,0.006521739130434782,3.5294117647058822,7-8
BMW i5 Touring Review,8,69945,https://www.electrifying.com/reviews/bmw/i5touring/,81,205,4.1,342,0.004889556079776968,4.222222222222222,7-8
Citroen e-C3 Review,9,21990,https://www.electrifying.com/reviews/citroen-reviews/e-c3/,44,100,4.5,199,0.009049567985447931,4.5227272727272725,9-10
Cupra Tavascan Review,7,47300,https://www.electrifying.com/reviews/cupra-reviews/tavascan/,77,135,4.4,355,0.007505285412262156,4.6103896103896105,7-8
MINI Cooper Electric Review,8,26895,https://www.electrifying.com/reviews/mini-reviews/electric/,73,95,4.4,249,0.009258226436140547,3.410958904109589,7-8
Tesla Cybertruck Review,6,80000,https://www.electrifying.com/reviews/tesla-reviews/cybertruck/,123,151,4.1,340,0.00425,2.7642276422764227,5-6
Geely Panda Review,7,5500,https://www.electrifying.com/reviews/geely/panda/,17,22,7.2,124,0.022545454545454546,7.294117647058823,7-8
Porsche Macan Electric Review,9,68500,https://www.electrifying.com/reviews/porsche-reviews/macan-electric/,95,270,4.3,399,0.005824817518248175,4.2,9-10
Mercedes G580 with EQ Technology Review,7,110000,https://www.electrifying.com/reviews/mercedes-reviews/g580-with-eq-technology/,73,151,4.1,260,0.0023636363636363638,3.5616438356164384,7-8
Volvo EX30 Review,7,32850,https://www.electrifying.com/reviews/volvo-reviews/ex30/,56,153,4.3,296,0.009010654490106546,5.285714285714286,7-8
BMW Vision Neue Klasse 2024 Review,8,60000,https://www.electrifying.com/reviews/bmw-reviews/neue-klasse/,73,151,4.1,500,0.008333333333333333,6.8493150684931505,7-8
MINI Countryman Review,8,42080,https://www.electrifying.com/reviews/mini-reviews/countryman-electric/,73,130,4.4,286,0.0067965779467680605,3.9178082191780823,7-8
Kia EV9 Air Review,9,65025,https://www.electrifying.com/reviews/kia-reviews/ev9-3/,99,210,3.7,349,0.00536716647443291,3.525252525252525,9-10
BMW iX2 Review,6,51615,https://www.electrifying.com/reviews/bmw-reviews/ix2/,64,151,4.1,283,0.005482902257095805,4.421875,5-6
Porsche Taycan 2024 Review,10,86500,https://www.electrifying.com/reviews/porsche-reviews/new-taycan-2024/,89,320,3.8,421,0.004867052023121387,4.730337078651686,9-10
Skoda Enyaq (<2024) Review,9,36970,https://www.electrifying.com/reviews/skoda/enyaq-iv/,64,175,4.3,348,0.009413037598052475,5.4375,9-10
Kia EV9 Review,9,64995,https://www.electrifying.com/reviews/kia-reviews/ev9/,99,220,3.7,349,0.005369643818755289,3.525252525252525,9-10
Nissan Ariya Review,7,39645,https://www.electrifying.com/reviews/nissan/ariya/,75,151,3.6,330,0.00832387438516837,4.4,7-8
Citroen Ami Review,9,7695,https://www.electrifying.com/reviews/citroen-reviews/ami/,5,2,8.0,46,0.005977907732293697,9.2,9-10
Renault Scenic E-Tech Review,9,36495,https://www.electrifying.com/reviews/renault-reviews/scenic-e-tech/,73,151,4.1,379,0.010384984244417044,5.191780821917808,9-10
Porsche Taycan Sport Turismo Review,10,80200,https://www.electrifying.com/reviews/porsche-reviews/taycan-sport-turismo/,93,270,3.3,304,0.0037905236907730673,3.2688172043010755,9-10
Abarth 500e Review,8,34195,https://www.electrifying.com/reviews/abarth/500e/,42,85,4.0,158,0.0046205585611931565,3.761904761904762,7-8
Vauxhall Astra Sports Tourer Electric Review,7,35280,https://www.electrifying.com/reviews/vauxhall-reviews/astra-sport-tourer/,51,100,4.4,256,0.0072562358276643995,5.019607843137255,7-8
Smart #3 Review,8,33950,https://www.electrifying.com/reviews/smart-reviews/3/,62,150,4.6,283,0.00833578792341679,4.564516129032258,7-8
Volkswagen ID.7 Review,8,51550,https://www.electrifying.com/reviews/volkswagen-reviews/id-7/,81,187,4.1,436,0.00845780795344326,5.382716049382716,7-8
Genesis Electrified GV70 review,8,65105,https://www.electrifying.com/reviews/genesis-reviews/gv70/,77,225,3.2,283,0.004346824360648184,3.675324675324675,7-8
Nio EL6 review,8,57000,https://www.electrifying.com/reviews/audi-reviews/q6-e-tron-1/,100,182,3.3,329,0.005771929824561404,3.29,7-8
Audi Q6 e-tron prototype 2024 review,9,65000,https://www.electrifying.com/reviews/audi-reviews/q6-e-tron/,100,270,3.8,310,0.0047692307692307695,3.1,9-10
Peugeot E-308 Review,7,38550,https://www.electrifying.com/reviews/peugeot-reviews/e308/,51,100,4.9,248,0.006433203631647211,4.862745098039215,7-8
Zeekr X Review,7,40000,https://www.electrifying.com/reviews/zeekr/x/,62,150,4.4,273,0.006825,4.403225806451613,7-8
Mazda MX-30 R-EV Review,6,31250,https://www.electrifying.com/reviews/mazda-reviews/mx-30-r-ev/,17,36,3.0,53,0.001696,3.1176470588235294,5-6
